period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2019Q1,28,1.75,0.0011601477544485501,20,8,303.0,247.875,115.25,196,12.25,10272,4620,0,0,16,,,12.25,930.75,0,0.0,1.25,0.5,12,0
2019Q2,186,0.465,0.0002510001949883255,34,10,360.0,318.845,44.17,740,1.85,23720,21504,42,42,400,57.0,0.18811881188118812,1.85,113.06,84,0.21,0.085,0.025,24,1
2019Q3,902,0.5581683168316832,0.00018514131692324814,50,24,777.0,459.25,92.63366336633663,2712,1.6782178217821782,51058,35468,266,264,1616,417.0,1.1583333333333334,1.6782178217821782,53.54331683168317,530,0.327970297029703,0.03094059405940594,0.01485148514851485,26,2
2019Q4,442,1.175531914893617,0.00023732524252454042,34,2,1141.0,920.8457446808511,164.0531914893617,1350,3.5904255319148937,64134,54358,172,170,376,364.0,0.46846846846846846,3.5904255319148937,315.13829787234044,342,0.9095744680851063,0.09042553191489362,0.005319148936170213,32,3
2020Q1,348,0.7767857142857143,7.628797046076768e-05,38,38,1817.0,1475.174107142857,149.63392857142858,1948,4.348214285714286,55908,34832,256,256,448,676.0,0.5924627519719544,4.348214285714286,202.54464285714286,512,1.1428571428571428,0.08482142857142858,0.08482142857142858,0,4
2020Q2,240,0.27713625866050806,1.6099701460042463e-05,10,4,3219.0,2530.321016166282,149.8799076212471,3246,3.748267898383372,68136,37816,454,448,866,1402.0,0.7716015410016511,3.748267898383372,122.34642032332563,902,1.0415704387990763,0.011547344110854504,0.004618937644341801,6,5
2020Q3,30,0.03275109170305677,1.1455630291735608e-06,8,2,4908.0,4277.823144104804,193.6353711790393,3624,3.9563318777292578,95718,56240,382,380,916,1689.0,0.5246971109040075,3.9563318777292578,165.8930131004367,762,0.8318777292576419,0.008733624454148471,0.002183406113537118,6,6
2020Q4,140,0.12844036697247707,3.4310319675073082e-06,16,0,7093.0,5851.5944954128445,176.73211009174312,5516,5.060550458715596,128614,84752,472,456,1090,2185.0,0.44519152404237977,5.060550458715596,195.748623853211,928,0.8513761467889909,0.014678899082568808,0.0,16,7
2021Q1,380,0.3807615230460922,7.583743136527908e-06,34,14,7872.0,8048.523046092185,248.4749498997996,6742,6.755511022044089,163318,152566,544,538,998,779.0,0.10982658959537572,6.755511022044089,316.5170340681363,1082,1.0841683366733468,0.03406813627254509,0.014028056112224449,20,8
2021Q2,158,0.18287037037037038,3.5106853748922046e-06,6,16,8983.0,8546.4375,218.91203703703704,3468,4.013888888888889,74658,76822,380,378,864,1111.0,0.14113313008130082,4.013888888888889,175.32407407407408,758,0.8773148148148148,0.006944444444444444,0.018518518518518517,-10,9
2021Q3,364,0.37995824634655534,6.591177423889733e-06,8,2,10717.0,9918.52400835073,271.47807933194156,5060,5.281837160751566,90522,72338,328,338,958,1734.0,0.1930312813091395,5.281837160751566,170.0,666,0.6951983298538622,0.008350730688935281,0.0020876826722338203,6,10
2021Q4,386,0.3836978131212724,5.888648550195125e-06,20,2,11970.0,11581.226640159046,345.16699801192846,4880,4.850894632206759,74790,52812,258,258,1006,1253.0,0.11691704768125408,4.850894632206759,126.84095427435388,516,0.5129224652087475,0.019880715705765408,0.0019880715705765406,18,11
2022Q1,160,0.22598870056497175,3.2168383638729642e-06,10,2,12675.0,12238.169491525423,347.9039548022599,3158,4.46045197740113,60646,41462,108,112,708,705.0,0.05889724310776942,4.46045197740113,144.22033898305085,220,0.3107344632768362,0.014124293785310734,0.002824858757062147,8,12
2022Q2,248,0.5276595744680851,6.923572290143904e-06,62,0,16537.0,13320.991489361702,378.1276595744681,3814,8.114893617021277,424402,312054,158,162,470,3862.0,0.3046942800788955,8.114893617021277,1566.9276595744682,320,0.6808510638297872,0.13191489361702127,0.0,62,13
2022Q3,250,0.2828054298642534,2.7681059623366092e-06,16,2,18416.0,17462.470588235294,279.87330316742083,5116,5.787330316742081,148248,97250,332,336,884,1879.0,0.1136239946785995,5.787330316742081,277.7126696832579,668,0.755656108597285,0.01809954751131222,0.0022624434389140274,14,14
2022Q4,198,0.22448979591836735,1.9589885240884617e-06,14,22,20298.0,19486.709750566893,212.9251700680272,4836,5.482993197278912,85330,49794,352,338,882,1882.0,0.10219374456993918,5.482993197278912,153.20181405895693,690,0.782312925170068,0.015873015873015872,0.024943310657596373,-8,15
2023Q1,538,0.6285046728971962,5.432210887808796e-06,42,20,18967.0,19381.116822429907,446.9906542056075,10262,11.988317757009346,392930,426176,198,196,856,-1331.0,-0.0655729628534831,11.988317757009346,956.8995327102804,394,0.4602803738317757,0.04906542056074766,0.02336448598130841,22,16
2023Q2,378,0.9895287958115183,8.532252680450006e-06,14,0,19398.0,19124.513089005235,391.7958115183246,3174,8.30890052356021,32864,24736,110,98,382,431.0,0.022723677966995308,8.30890052356021,150.78534031413614,208,0.5445026178010471,0.03664921465968586,0.0,14,17
2023Q3,454,0.9578059071729957,7.832427577874695e-06,14,2,20466.0,20041.962025316454,360.746835443038,4148,8.751054852320674,52836,33990,112,112,474,1068.0,0.055057222394061245,8.751054852320674,183.1772151898734,224,0.47257383966244726,0.029535864978902954,0.004219409282700422,12,18
2023Q4,140,0.3553299492385787,2.770660097927213e-06,6,2,21794.0,21369.60913705584,275.33502538071065,2114,5.365482233502538,46860,27466,100,98,394,1328.0,0.06488810710446595,5.365482233502538,188.64467005076142,198,0.5025380710659898,0.015228426395939087,0.005076142131979695,4,19
2024Q1,192,0.5818181818181818,4.390816454441952e-06,4,2,20541.0,21621.909090909092,287.26060606060605,1912,5.793939393939394,28092,41596,78,66,330,-1253.0,-0.05749288795081215,5.793939393939394,211.1757575757576,144,0.43636363636363634,0.012121212121212121,0.006060606060606061,2,20
2024Q2,164,1.2058823529411764,9.32559426247043e-06,24,6,20921.0,20777.08823529412,283.5882352941176,682,5.014705882352941,17092,5330,50,50,136,380.0,0.018499586193466724,5.014705882352941,164.86764705882354,100,0.7352941176470589,0.17647058823529413,0.04411764705882353,18,21
2024Q3,114,1.425,1.4941897358440332e-05,0,6,14565.0,14702.75,246.75,1416,17.7,2668,149262,22,22,80,-6356.0,-0.3038095693322499,17.7,1899.125,44,0.55,0.0,0.075,-6,22
2024Q4,58,0.725,7.76368914693314e-06,2,8,14764.0,14689.15,395.225,638,7.975,7216,3564,52,52,80,199.0,0.01366289049090285,7.975,134.75,104,1.3,0.025,0.1,-6,23
2025Q1,98,1.53125,1.6301091659979437e-05,0,0,14823.0,14779.5,342.75,726,11.34375,3824,2634,40,38,64,59.0,0.003996206989975617,11.34375,100.90625,78,1.21875,0.0,0.0,0,24
2025Q2,9,0.20930232558139536,2.2206551180206073e-06,1,1,14860.0,14827.720930232557,157.53488372093022,122,2.8372093023255816,7806,7392,20,18,43,37.0,0.0024961208932065032,2.8372093023255816,353.4418604651163,38,0.8837209302325582,0.023255813953488372,0.023255813953488372,0,25
