period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2009Q3,20,0.7142857142857143,0.0010913654600542533,0,0,420,412.5,102.14285714285714,118,4.214285714285714,8220,286,2,2,28,,,4.214285714285714,303.7857142857143,4,0.14285714285714285,0.0,0.0,0,0
2009Q4,0,0.0,0.0,0,0,435,435.0,7.0,2,1.0,300,0,0,0,2,15.0,0.03571428571428571,1.0,150.0,0,0.0,0.0,0.0,0,1
2010Q1,40,0.23809523809523808,0.0003967084607539866,0,0,510,521.25,104.76190476190476,758,4.511904761904762,35804,19044,8,8,168,75.0,0.1724137931034483,4.511904761904762,326.4761904761905,16,0.09523809523809523,0.0,0.0,0,2
2010Q2,0,0.0,0.0,0,0,525,522.0,44.92,110,2.2,10018,4146,6,6,50,15.0,0.029411764705882353,2.2,283.28,12,0.24,0.0,0.0,0,3
2010Q3,0,0.0,0.0,0,0,555,565.0568181818181,94.23863636363636,428,2.4318181818181817,15896,8340,34,34,176,30.0,0.05714285714285714,2.4318181818181817,137.70454545454547,68,0.38636363636363635,0.0,0.0,0,4
2010Q4,0,0.0,0.0,0,0,675,562.3636363636364,77.85454545454546,80,1.4545454545454546,8069,5558,11,11,55,120.0,0.21621621621621623,1.4545454545454546,247.76363636363635,22,0.4,0.0,0.0,0,5
2011Q1,26,0.25742574257425743,0.0003249794933388121,0,0,675,638.7623762376238,82.68316831683168,323,3.198019801980198,109483,9457,10,10,101,0.0,0.0,3.198019801980198,1177.6237623762377,20,0.19801980198019803,0.0,0.0,0,6
2011Q2,26,0.41935483870967744,0.00047474926241361515,0,0,750,720.241935483871,136.17741935483872,251,4.048387096774194,4425,3414,11,11,62,75.0,0.1111111111111111,4.048387096774194,126.43548387096774,22,0.3548387096774194,0.0,0.0,0,7
2011Q3,14,0.32558139534883723,0.0004047779725593867,0,0,810,780.6976744186046,136.1627906976744,110,2.558139534883721,2566,1070,7,7,43,60.0,0.08,2.558139534883721,84.55813953488372,14,0.32558139534883723,0.0,0.0,0,8
2011Q4,12,0.36363636363636365,0.000526888678607041,0,0,765,786.8181818181819,83.48484848484848,56,1.696969696969697,7509,5388,10,10,33,-45.0,-0.05555555555555555,1.696969696969697,390.8181818181818,20,0.6060606060606061,0.0,0.0,0,9
2012Q1,70,2.3333333333333335,0.00559276886954065,0,0,795,791.0,87.93333333333334,43,1.4333333333333333,2766,634,3,4,30,30.0,0.0392156862745098,1.4333333333333333,113.33333333333333,7,0.23333333333333334,0.0,0.0,0,10
2012Q2,0,0.0,0.0,0,0,795,795.0,66.0,19,1.7272727272727273,3225,875,2,2,11,0.0,0.0,1.7272727272727273,372.72727272727275,4,0.36363636363636365,0.0,0.0,0,11
2012Q3,6,0.14285714285714285,0.00034674063800277393,0,0,930,872.5,52.69047619047619,72,1.7142857142857142,1596,1133,5,5,42,135.0,0.16981132075471697,1.7142857142857142,64.97619047619048,10,0.23809523809523808,0.0,0.0,0,12
2012Q4,10,0.625,0.0010033616338510933,0,0,930,930.0,115.75,23,1.4375,115,54,2,2,16,0.0,0.0,1.4375,10.5625,4,0.25,0.0,0.0,0,13
2013Q1,7,0.5,0.001393939393939394,0,0,930,935.3571428571429,125.92857142857143,23,1.6428571428571428,13626,7896,3,3,14,0.0,0.0,1.6428571428571428,1537.2857142857142,6,0.42857142857142855,0.0,0.0,0,14
2013Q2,2,0.2857142857142857,0.00030330603579011223,0,0,930,930.0,84.0,9,1.2857142857142858,107,52,1,1,7,0.0,0.0,1.2857142857142858,22.714285714285715,2,0.2857142857142857,0.0,0.0,0,15
2013Q3,2,0.06451612903225806,0.0001486546751895347,0,0,945,943.0645161290323,97.25806451612904,43,1.3870967741935485,1352,513,4,4,31,15.0,0.016129032258064516,1.3870967741935485,60.16129032258065,8,0.25806451612903225,0.0,0.0,0,16
2013Q4,22,0.4489795918367347,0.0005508575117092772,0,0,975,962.1428571428571,112.85714285714286,71,1.4489795918367347,1531,837,8,8,49,30.0,0.031746031746031744,1.4489795918367347,48.326530612244895,16,0.32653061224489793,0.0,0.0,0,17
2014Q1,102,1.146067415730337,0.0010705448621415286,0,0,1050,1000.4494382022472,160.52808988764045,220,2.4719101123595504,2327,1038,21,21,89,75.0,0.07692307692307693,2.4719101123595504,37.80898876404494,42,0.47191011235955055,0.0,0.0,0,18
2014Q2,58,0.7435897435897436,0.0009483716951335997,0,0,1050,1045.3846153846155,119.83333333333333,159,2.0384615384615383,6746,1904,27,28,78,0.0,0.0,2.0384615384615383,110.8974358974359,55,0.7051282051282052,0.0,0.0,0,19
2014Q3,34,0.37777777777777777,0.0006693152889567711,0,0,1080,1054.8333333333333,103.38888888888889,120,1.3333333333333333,21503,3683,22,22,90,30.0,0.02857142857142857,1.3333333333333333,279.84444444444443,44,0.4888888888888889,0.0,0.0,0,20
2014Q4,48,0.6956521739130435,0.000561948035543908,0,0,1110,1092.1739130434783,113.82608695652173,111,1.608695652173913,15868,774,21,21,69,30.0,0.027777777777777776,1.608695652173913,241.18840579710144,42,0.6086956521739131,0.0,0.0,0,21
2015Q1,0,0.0,0.0,0,0,1110,1126.8103448275863,130.32758620689654,82,1.4137931034482758,20723,13755,16,16,58,0.0,0.0,1.4137931034482758,594.448275862069,32,0.5517241379310345,0.0,0.0,0,22
