period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2018Q4,702,1.3552123552123552,0.0004223483881977147,24,8,712.0,773.2934362934363,157.34749034749035,1270,2.451737451737452,147388,107434,166,166,518,,,2.451737451737452,491.9343629343629,332,0.640926640926641,0.04633204633204633,0.015444015444015444,16,0
2019Q1,1686,3.087912087912088,0.0005244686480203191,26,16,1974.0,1498.5238095238096,198.3919413919414,1356,2.4835164835164836,61364,25604,160,164,546,1262.0,1.7724719101123596,2.4835164835164836,159.28205128205127,324,0.5934065934065934,0.047619047619047616,0.029304029304029304,10,1
2019Q2,2290,3.8682432432432434,0.00034231586058329125,32,6,2858.0,2161.347972972973,304.1587837837838,2262,3.820945945945946,73572,35026,202,202,592,884.0,0.44782168186423504,3.820945945945946,183.44256756756758,404,0.6824324324324325,0.05405405405405406,0.010135135135135136,26,2
2019Q3,2166,1.5741279069767442,8.961473259685762e-05,70,72,4405.0,3255.796511627907,361.17587209302326,9388,6.8226744186046515,517772,371400,434,436,1376,1547.0,0.5412876137158852,6.8226744186046515,646.2005813953489,870,0.6322674418604651,0.050872093023255814,0.05232558139534884,-2,3
2019Q4,3844,1.9612244897959183,5.123560100204261e-05,46,14,7829.0,6255.097959183673,511.0704081632653,19790,10.096938775510203,984670,525602,510,512,1960,3424.0,0.7772985244040863,10.096938775510203,770.5469387755102,1022,0.5214285714285715,0.02346938775510204,0.007142857142857143,32,4
2020Q1,1644,1.5930232558139534,2.6767388305108458e-05,50,38,9233.0,8414.678294573643,314.81976744186045,5228,5.065891472868217,105038,67348,324,312,1032,1404.0,0.17933324817984417,5.065891472868217,167.0406976744186,636,0.6162790697674418,0.04844961240310078,0.03682170542635659,12,5
2020Q2,346,0.3887640449438202,4.991675220682789e-06,30,14,12709.0,10697.044943820225,306.6629213483146,3784,4.251685393258427,168672,95508,424,418,890,3476.0,0.37647568504278134,4.251685393258427,296.8314606741573,842,0.946067415730337,0.033707865168539325,0.015730337078651686,16,6
2020Q3,306,0.27079646017699116,2.414934755831311e-06,24,0,19327.0,15479.750442477876,302.2212389380531,4796,4.244247787610619,200946,72484,570,556,1130,6618.0,0.5207333385789598,4.244247787610619,241.97345132743362,1126,0.9964601769911504,0.021238938053097345,0.0,24,7
2020Q4,584,0.5367647058823529,3.148632823631373e-06,80,10,26493.0,22779.022058823528,490.18014705882354,7456,6.852941176470588,509808,332604,670,654,1088,7166.0,0.3707766337248409,6.852941176470588,774.2757352941177,1324,1.2169117647058822,0.07352941176470588,0.009191176470588236,70,8
2021Q1,364,0.3364140480591497,1.4630387225782172e-06,26,10,34976.0,31126.19593345656,452.547134935305,5252,4.853974121996303,253878,80130,646,634,1082,8483.0,0.32019778809496846,4.853974121996303,308.6950092421442,1280,1.1829944547134936,0.024029574861367836,0.009242144177449169,16,9
2021Q2,824,0.8879310344827587,3.0680459604882022e-06,38,0,43873.0,38674.525862068964,525.9741379310345,4830,5.204741379310345,264774,80862,512,502,928,8897.0,0.254374428179323,5.204741379310345,372.45258620689657,1014,1.0926724137931034,0.040948275862068964,0.0,38,10
2021Q3,402,0.4222689075630252,1.1912810932433899e-06,16,0,51477.0,47728.87605042017,362.9075630252101,3668,3.8529411764705883,187068,41012,548,544,952,7604.0,0.17331844186629589,3.8529411764705883,239.57983193277312,1092,1.1470588235294117,0.01680672268907563,0.0,16,11
2021Q4,772,0.8635346756152126,2.0755972799477914e-06,20,6,61544.0,56698.76733780761,826.2774049217002,6666,7.456375838926174,323450,147342,536,540,894,10067.0,0.19556306700079648,7.456375838926174,526.6129753914989,1076,1.203579418344519,0.02237136465324385,0.006711409395973154,14,12
2022Q1,912,0.7080745341614907,1.4642462611299921e-06,58,0,69152.0,65526.276397515525,567.1490683229814,7374,5.725155279503106,511646,335476,716,710,1288,7608.0,0.12361887430131288,5.725155279503106,657.7034161490683,1426,1.1071428571428572,0.04503105590062112,0.0,58,13
2022Q2,1482,1.2559322033898306,2.350379882396029e-06,78,0,79587.0,73788.51694915254,615.6237288135593,7460,6.322033898305085,558244,341018,696,690,1180,10435.0,0.15089946783896344,6.322033898305085,762.0864406779662,1386,1.1745762711864407,0.06610169491525424,0.0,78,14
2022Q3,968,0.9272030651340997,1.5263953261234685e-06,10,0,86982.0,82354.64559386973,519.1283524904214,4168,3.992337164750958,189638,28032,548,538,1044,7395.0,0.09291718496739418,3.992337164750958,208.49616858237547,1086,1.0402298850574712,0.009578544061302681,0.0,10,15
2022Q4,678,0.4637482900136799,6.715363712955161e-07,18,0,100567.0,93912.85225718195,410.5184678522572,5588,3.8221614227086183,341144,87412,790,794,1462,13585.0,0.15618173875054608,3.8221614227086183,293.12995896032834,1584,1.0834473324213407,0.012311901504787962,0.0,18,16
2023Q1,1322,0.9836309523809523,1.2588358059442466e-06,34,2,112709.0,107389.88988095238,828.2142857142857,10242,7.620535714285714,318388,68350,814,814,1344,12142.0,0.12073543011126911,7.620535714285714,287.7514880952381,1628,1.2113095238095237,0.025297619047619048,0.001488095238095238,32,17
2023Q2,654,0.7832335329341318,9.161108943400017e-07,108,99,118775.0,115679.04670658683,662.4646706586826,3906,4.677844311377245,201740,124915,516,515,835,6066.0,0.05382001437329761,4.677844311377245,391.20359281437123,1031,1.2347305389221557,0.12934131736526946,0.118562874251497,9,18
2023Q3,501,0.8420168067226891,9.432990599726722e-07,22,12,124354.0,121494.35966386554,682.1647058823529,3036,5.102521008403361,99696,37314,380,375,595,5579.0,0.04697116396548095,5.102521008403361,230.2689075630252,755,1.26890756302521,0.03697478991596639,0.020168067226890758,10,19
