project,category,test,correlation,p_value,n,significant
librosa,complexity,smell_density_mean_vs_complexity_delta,0.1046385094876611,0.4742825047706012,49,False
librosa,complexity,smell_density_mean_vs_complexity_growth_rate,0.38559959741260275,0.006215045113108586,49,True
librosa,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.7954357930033482,5.17049199215867e-12,50,True
librosa,complexity,total_smells_found_sum_vs_complexity_delta,0.1829003886385287,0.20843013787184517,49,False
librosa,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.40611104434713985,0.0037879436585918054,49,True
librosa,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.7390414512125953,8.883690117285646e-10,50,True
librosa,complexity,smell_introduction_rate_vs_complexity_delta,0.1591612771488321,0.27467982085939413,49,False
librosa,complexity,smell_introduction_rate_vs_complexity_growth_rate,0.48155233060330144,0.00045992734689575204,49,True
librosa,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,-0.5984929691712899,4.418564487711729e-06,50,True
librosa,changes,smell_density_mean_vs_change_intensity,-0.15045113720842787,0.2969978120307771,50,False
librosa,changes,smell_density_mean_vs_files_changed_sum,0.4899700274591331,0.0003042537501131216,50,True
librosa,changes,smell_density_mean_vs_loc_churn,-0.019448464102491455,0.8933585290694146,50,False
librosa,changes,total_smells_found_sum_vs_change_intensity,-0.1972723025129312,0.16969592114191603,50,False
librosa,changes,total_smells_found_sum_vs_files_changed_sum,0.7262735831858765,2.3807651838252213e-09,50,True
librosa,changes,total_smells_found_sum_vs_loc_churn,0.04131492303253741,0.7757413040821916,50,False
librosa,changes,smell_introduction_rate_vs_change_intensity,-0.34835627527279384,0.013169767306389494,50,True
librosa,changes,smell_introduction_rate_vs_files_changed_sum,0.35790343247730816,0.010713753236636439,50,True
librosa,changes,smell_introduction_rate_vs_loc_churn,0.05782476223612989,0.6899852750927258,50,False
librosa,bugfixes,smell_density_mean_vs_bugfix_ratio,-0.6385983261957966,6.040831295921148e-07,50,True
librosa,bugfixes,smell_density_mean_vs_bugfix_commits,0.26684580750266895,0.06102886969751777,50,False
librosa,bugfixes,total_smells_found_sum_vs_bugfix_ratio,-0.7300142221733662,1.793834804371938e-09,50,True
librosa,bugfixes,total_smells_found_sum_vs_bugfix_commits,0.5504746585736457,3.4468961946759155e-05,50,True
librosa,bugfixes,smell_introduction_rate_vs_bugfix_ratio,-0.5934663633169102,5.564696229400818e-06,50,True
librosa,bugfixes,smell_introduction_rate_vs_bugfix_commits,0.16130534727748158,0.26309763681403847,50,False
gensim,complexity,smell_density_mean_vs_complexity_delta,0.14387657191081415,0.2812584260783587,58,False
gensim,complexity,smell_density_mean_vs_complexity_growth_rate,0.12121560085468487,0.3647225316646244,58,False
gensim,complexity,smell_density_mean_vs_project_cyclomatic_complexity_last,-0.22311919075107037,0.08938917764923701,59,False
gensim,complexity,total_smells_found_sum_vs_complexity_delta,0.26123503000237863,0.047620449157165144,58,True
gensim,complexity,total_smells_found_sum_vs_complexity_growth_rate,0.21373258030598002,0.10718375900244433,58,False
gensim,complexity,total_smells_found_sum_vs_project_cyclomatic_complexity_last,-0.05187375699229166,0.6963979074986544,59,False
gensim,complexity,smell_introduction_rate_vs_complexity_delta,,,58,False
gensim,complexity,smell_introduction_rate_vs_complexity_growth_rate,,,58,False
gensim,complexity,smell_introduction_rate_vs_project_cyclomatic_complexity_last,,,59,False
gensim,changes,smell_density_mean_vs_change_intensity,0.04151478852048396,0.7548938904654254,59,False
gensim,changes,smell_density_mean_vs_files_changed_sum,0.19471456691904473,0.13945705743491824,59,False
gensim,changes,smell_density_mean_vs_loc_churn,-0.08238096193873218,0.5350623318579858,59,False
gensim,changes,total_smells_found_sum_vs_change_intensity,0.237708651670919,0.06984871884459716,59,False
gensim,changes,total_smells_found_sum_vs_files_changed_sum,0.6646519374947366,9.440333856392652e-09,59,True
gensim,changes,total_smells_found_sum_vs_loc_churn,0.13521984077854313,0.3071977959498167,59,False
gensim,changes,smell_introduction_rate_vs_change_intensity,,,59,False
gensim,changes,smell_introduction_rate_vs_files_changed_sum,,,59,False
gensim,changes,smell_introduction_rate_vs_loc_churn,,,59,False
gensim,bugfixes,smell_density_mean_vs_bugfix_ratio,0.013898727538670195,0.9167892773757025,59,False
gensim,bugfixes,smell_density_mean_vs_bugfix_commits,0.13219064046549206,0.3182604947650018,59,False
gensim,bugfixes,total_smells_found_sum_vs_bugfix_ratio,0.2079710789010177,0.11396645417841592,59,False
