period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2012Q4,82,1.64,0.006580814795510631,12,5,207.0,91.34,21.1,72,1.44,3191,602,9,9,50,,,1.44,75.86,18,0.36,0.24,0.1,7,0
2013Q1,152,1.7674418604651163,0.001142755713480801,7,9,248.0,231.54651162790697,34.68604651162791,163,1.8953488372093024,3700,2720,10,10,86,41.0,0.19806763285024154,1.8953488372093024,74.65116279069767,20,0.23255813953488372,0.08139534883720931,0.10465116279069768,-2,1
2013Q2,50,0.9433962264150944,0.0005443707809047076,2,0,272.0,257.8301886792453,36.54716981132076,112,2.1132075471698113,3549,2451,5,4,53,24.0,0.0967741935483871,2.1132075471698113,113.20754716981132,9,0.16981132075471697,0.03773584905660377,0.0,2,2
2013Q3,40,1.0256410256410255,0.00037553378020905117,1,4,363.0,344.9230769230769,50.84615384615385,49,1.2564102564102564,1900,617,5,5,39,91.0,0.33455882352941174,1.2564102564102564,64.53846153846153,10,0.2564102564102564,0.02564102564102564,0.10256410256410256,-3,3
2013Q4,163,0.7477064220183486,0.0002581802429665702,4,3,304.0,353.697247706422,44.091743119266056,393,1.8027522935779816,9556,8712,23,24,218,-59.0,-0.162534435261708,1.8027522935779816,83.79816513761467,47,0.21559633027522937,0.01834862385321101,0.013761467889908258,1,4
2014Q1,119,1.0,0.00028872749246639185,2,2,358.0,343.26050420168065,55.51260504201681,237,1.9915966386554622,4282,1993,25,18,119,54.0,0.17763157894736842,1.9915966386554622,52.73109243697479,43,0.36134453781512604,0.01680672268907563,0.01680672268907563,0,5
2014Q2,48,0.4948453608247423,0.0001355555357671696,3,3,374.0,364.77319587628864,45.371134020618555,182,1.8762886597938144,8665,4648,16,15,97,16.0,0.0446927374301676,1.8762886597938144,137.24742268041237,31,0.31958762886597936,0.030927835051546393,0.030927835051546393,0,6
2014Q3,6,1.0,0.00024327949638865628,0,0,376.0,375.3333333333333,76.33333333333333,20,3.3333333333333335,42,16,4,4,6,2.0,0.0053475935828877,3.3333333333333335,9.666666666666666,8,1.3333333333333333,0.0,0.0,0,7
2014Q4,86,0.8113207547169812,0.00018110805768875118,2,1,449.0,396.7169811320755,78.56603773584905,326,3.0754716981132075,5129,4836,13,13,106,73.0,0.19414893617021275,3.0754716981132075,94.00943396226415,26,0.24528301886792453,0.018867924528301886,0.009433962264150943,1,8
2015Q1,189,0.4276018099547511,5.812317082310162e-05,4,4,1289.0,808.893665158371,77.3393665158371,1064,2.4072398190045248,40039,20041,76,77,442,840.0,1.8708240534521159,2.4072398190045248,135.92760180995475,153,0.34615384615384615,0.00904977375565611,0.00904977375565611,0,9
2015Q2,39,0.5492957746478874,5.23161770428027e-05,0,0,1324.0,1308.5915492957747,145.32394366197184,293,4.126760563380282,2972,1666,27,29,71,35.0,0.027152831652443754,4.126760563380282,65.32394366197182,56,0.7887323943661971,0.0,0.0,0,10
2015Q3,12,0.10810810810810811,9.799765388198798e-06,0,0,1454.0,1401.4684684684685,87.52252252252252,216,1.945945945945946,3365,982,24,21,111,130.0,0.09818731117824774,1.945945945945946,39.16216216216216,45,0.40540540540540543,0.0,0.0,0,11
2015Q4,0,0.0,0.0,0,0,1485.0,1472.655172413793,96.72413793103448,87,1.5,1201,344,13,13,58,31.0,0.021320495185694635,1.5,26.637931034482758,26,0.4482758620689655,0.0,0.0,0,12
2016Q1,12,0.2608695652173913,2.178737618516248e-05,0,0,1533.0,1517.7608695652175,119.1304347826087,102,2.217391304347826,1605,585,7,7,46,48.0,0.03232323232323232,2.217391304347826,47.608695652173914,14,0.30434782608695654,0.0,0.0,0,13
2016Q2,33,0.38823529411764707,3.1743197523901075e-05,0,0,1530.0,1565.8235294117646,161.71764705882353,293,3.447058823529412,5102,6487,29,30,85,-3.0,-0.0019569471624266144,3.447058823529412,136.34117647058824,59,0.6941176470588235,0.0,0.0,0,14
2016Q3,30,0.7317073170731707,5.922526246583372e-05,0,0,1590.0,1561.0487804878048,95.53658536585365,111,2.707317073170732,2180,621,5,5,41,60.0,0.0392156862745098,2.707317073170732,68.3170731707317,10,0.24390243902439024,0.0,0.0,0,15
2016Q4,39,0.36792452830188677,2.7740880746378893e-05,0,0,1737.0,1651.2830188679245,130.6320754716981,232,2.188679245283019,5311,1406,15,16,106,147.0,0.09245283018867924,2.188679245283019,63.367924528301884,31,0.29245283018867924,0.0,0.0,0,16
2017Q1,33,0.4852941176470588,3.458724756560653e-05,0,0,1756.0,1744.9117647058824,177.13235294117646,255,3.75,1418,954,18,18,68,19.0,0.010938399539435808,3.75,34.88235294117647,36,0.5294117647058824,0.0,0.0,0,17
2017Q2,39,0.6190476190476191,4.369881059947248e-05,0,0,1799.0,1783.5079365079366,160.0,174,2.761904761904762,8190,3925,27,26,63,43.0,0.0244874715261959,2.761904761904762,192.3015873015873,53,0.8412698412698413,0.0,0.0,0,18
2017Q3,3,0.08333333333333333,5.734865689445553e-06,0,0,1821.0,1821.638888888889,86.22222222222223,71,1.9722222222222223,789,525,16,16,36,22.0,0.012229016120066704,1.9722222222222223,36.5,32,0.8888888888888888,0.0,0.0,0,19
2017Q4,12,0.46153846153846156,3.158155647640716e-05,0,0,1850.0,1836.0384615384614,152.34615384615384,47,1.8076923076923077,604,476,8,8,26,29.0,0.015925315760571115,1.8076923076923077,41.53846153846154,16,0.6153846153846154,0.0,0.0,0,20
2018Q1,17,0.2328767123287671,1.5173667431327335e-05,0,1,1904.0,1875.7534246575342,149.86301369863014,235,3.219178082191781,7145,1058,23,23,73,54.0,0.02918918918918919,3.219178082191781,112.36986301369863,46,0.6301369863013698,0.0,0.0136986301369863,-1,21
2018Q2,4,0.058823529411764705,3.4359068837890786e-06,0,0,2077.0,1984.4264705882354,126.47058823529412,136,2.0,6347,1845,25,26,68,173.0,0.09086134453781512,2.0,120.47058823529412,51,0.75,0.0,0.0,0,22
2018Q3,4,0.09090909090909091,5.2872566540124995e-06,0,0,2119.0,2089.0,156.72727272727272,103,2.340909090909091,1329,295,7,5,44,42.0,0.020221473278767454,2.340909090909091,36.90909090909091,12,0.2727272727272727,0.0,0.0,0,23
2018Q4,28,0.417910447761194,2.4011148952766643e-05,0,0,2061.0,2089.9402985074626,170.2089552238806,190,2.8358208955223883,3367,3405,14,14,67,-58.0,-0.02737140160453044,2.8358208955223883,101.07462686567165,28,0.417910447761194,0.0,0.0,0,24
2019Q1,16,0.25396825396825395,1.4304864331852774e-05,1,0,2124.0,2083.7936507936506,158.06349206349208,163,2.5873015873015874,3201,923,25,24,63,63.0,0.03056768558951965,2.5873015873015874,65.46031746031746,49,0.7777777777777778,0.015873015873015872,0.0,1,25
2019Q2,270,1.2053571428571428,6.402163820779896e-05,4,3,2296.0,2197.9776785714284,167.12946428571428,557,2.486607142857143,13364,2526,54,50,224,172.0,0.08097928436911488,2.486607142857143,70.9375,104,0.4642857142857143,0.017857142857142856,0.013392857142857142,1,26
2019Q3,151,1.1984126984126984,5.669325187255369e-05,0,0,2372.0,2354.34126984127,208.4126984126984,325,2.5793650793650795,7765,2276,36,36,126,76.0,0.033101045296167246,2.5793650793650795,79.69047619047619,72,0.5714285714285714,0.0,0.0,0,27
2019Q4,46,0.8679245283018868,3.987593145144758e-05,0,0,2378.0,2383.377358490566,113.15094339622641,74,1.3962264150943395,1438,627,17,17,53,6.0,0.002529510961214165,1.3962264150943395,38.9622641509434,34,0.6415094339622641,0.0,0.0,0,28
2020Q1,44,1.2571428571428571,5.808818326168029e-05,0,0,1933.0,2344.114285714286,323.0571428571429,181,5.171428571428572,12049,8885,12,12,35,-445.0,-0.18713204373423045,5.171428571428572,598.1142857142858,24,0.6857142857142857,0.0,0.0,0,29
2020Q2,23,0.71875,3.292658824691146e-05,0,0,2056.0,1995.84375,221.9375,139,4.34375,6955,4666,25,25,32,123.0,0.0636316606311433,4.34375,363.15625,50,1.5625,0.0,0.0,0,30
2020Q3,12,2.0,8.130423641057595e-05,0,0,2199.0,2154.8333333333335,581.1666666666666,73,12.166666666666666,9600,5432,4,4,6,143.0,0.06955252918287938,12.166666666666666,2505.3333333333335,8,1.3333333333333333,0.0,0.0,0,31
2021Q1,0,0.0,0.0,0,0,2203.0,2201.0,72.0,3,1.5,88,4,1,2,2,4.0,0.0018190086402910413,1.5,46.0,3,1.5,0.0,0.0,0,32
2021Q2,21,0.9545454545454546,3.6779207353025403e-05,0,0,2256.0,2234.2727272727275,185.86363636363637,66,3.0,1331,303,16,16,22,53.0,0.024058102587380843,3.0,74.27272727272727,32,1.4545454545454546,0.0,0.0,0,33
2021Q3,3,1.5,5.743165632896853e-05,0,0,2256.0,2256.0,281.5,7,3.5,24,11,2,2,2,0.0,0.0,3.5,17.5,4,2.0,0.0,0.0,0,34
2021Q4,0,0.0,0.0,0,4,2374.0,2366.8260869565215,318.95652173913044,120,5.217391304347826,4596,2469,15,15,23,118.0,0.05230496453900709,5.217391304347826,307.17391304347825,30,1.3043478260869565,0.0,0.17391304347826086,-4,35
2022Q1,0,0.0,0.0,0,0,2385.0,2378.8888888888887,614.1111111111111,108,12.0,1488,1371,9,9,9,11.0,0.004633529907329402,12.0,317.6666666666667,18,2.0,0.0,0.0,0,36
2022Q2,0,0.0,0.0,0,0,2394.0,2390.6363636363635,117.9090909090909,17,1.5454545454545454,245,74,9,9,11,9.0,0.0037735849056603774,1.5454545454545454,29.0,18,1.6363636363636365,0.0,0.0,0,37
2022Q3,0,0.0,0.0,0,0,2436.0,2428.875,288.75,86,3.5833333333333335,1432,949,15,15,24,42.0,0.017543859649122806,3.5833333333333335,99.20833333333333,30,1.25,0.0,0.0,0,38
2022Q4,0,0.0,0.0,0,0,2683.0,2574.5,444.6875,121,7.5625,7113,2089,12,12,16,247.0,0.10139573070607553,7.5625,575.125,24,1.5,0.0,0.0,0,39
2023Q1,0,0.0,0.0,0,0,2761.0,2727.6875,249.375,76,4.75,2267,772,12,12,16,78.0,0.029071934401789044,4.75,189.9375,24,1.5,0.0,0.0,0,40
2023Q2,0,0.0,0.0,0,0,2766.0,2765.222222222222,294.77777777777777,52,5.777777777777778,477,368,6,6,9,5.0,0.0018109380659181455,5.777777777777778,93.88888888888889,12,1.3333333333333333,0.0,0.0,0,41
