period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2018Q3,102,1.9615384615384615,0.0026559139227960464,0,0,1812.0,1459.1346153846155,96.71153846153847,519,9.98076923076923,21797,5046,14,14,52,,,9.98076923076923,516.2115384615385,28,0.5384615384615384,0.0,0.0,0,0
2018Q4,78,1.054054054054054,0.003224403965335745,0,0,2191.0,2017.7297297297298,47.270270270270274,240,3.2432432432432434,608967,12435,16,18,74,379.0,0.20916114790286977,3.2432432432432434,8397.324324324325,34,0.4594594594594595,0.0,0.0,0,1
2019Q1,289,1.3894230769230769,0.002808538312004759,0,0,2111.0,2232.403846153846,86.45192307692308,812,3.9038461538461537,24800,23026,59,59,208,-80.0,-0.03651300775901415,3.9038461538461537,229.93269230769232,118,0.5673076923076923,0.0,0.0,0,2
2019Q2,828,4.524590163934426,0.008320882116001377,0,0,2291.0,2195.6994535519125,128.0655737704918,504,2.7540983606557377,4600,4808,55,56,183,180.0,0.08526764566556135,2.7540983606557377,51.40983606557377,111,0.6065573770491803,0.0,0.0,0,3
2019Q3,199,0.995,0.004401111650250675,0,0,2583.0,2517.125,62.725,361,1.805,3425,4496,52,51,200,292.0,0.12745525971191618,1.805,39.605,103,0.515,0.0,0.0,0,4
2019Q4,135,0.8181818181818182,0.002333688393413075,0,0,2682.0,2637.1878787878786,53.10909090909091,282,1.709090909090909,130323,70878,42,43,165,99.0,0.03832752613240418,1.709090909090909,1219.4,85,0.5151515151515151,0.0,0.0,0,5
2020Q2,8,0.14545454545454545,0.00024008391546702905,0,0,2568.0,2482.4727272727273,65.6,330,6.0,10907,38909,23,23,55,-114.0,-0.042505592841163314,6.0,905.7454545454545,46,0.8363636363636363,0.0,0.0,0,6
2020Q3,255,0.6423173803526449,0.002527669294360463,0,0,3717.0,3205.803526448363,75.88916876574308,1028,2.5894206549118386,17920,6375,142,144,397,1149.0,0.44742990654205606,2.5894206549118386,61.19647355163728,286,0.7204030226700252,0.0,0.0,0,7
2020Q4,33,0.11,0.00047874930179171574,0,0,4025.0,3836.3166666666666,44.37,557,1.8566666666666667,13840,4546,105,101,300,308.0,0.08286252354048965,1.8566666666666667,61.28666666666667,206,0.6866666666666666,0.0,0.0,0,8
2021Q1,291,0.6895734597156398,0.001551750347363134,0,0,4406.0,4216.876777251185,79.55450236966824,1141,2.703791469194313,37013,25530,137,138,422,381.0,0.09465838509316771,2.703791469194313,148.20616113744074,275,0.6516587677725119,0.0,0.0,0,9
