period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2009Q3,30,1.2,0.0020799574161652415,0,0,1471.0,1417.88,215.88,57,2.28,23559,911,5,5,25,,,2.28,978.8,10,0.4,0.0,0.0,0,0
2009Q4,127,2.152542372881356,0.0009271249126219587,0,0,2994.0,2347.576271186441,413.5593220338983,213,3.610169491525424,18391,6377,9,9,59,1523.0,1.035350101971448,3.610169491525424,419.79661016949154,18,0.3050847457627119,0.0,0.0,0,1
2010Q1,122,2.9047619047619047,0.0015848108774289351,0,0,3315.0,3140.6190476190477,547.2619047619048,199,4.738095238095238,13034,7289,10,10,42,321.0,0.10721442885771543,4.738095238095238,483.8809523809524,20,0.47619047619047616,0.0,0.0,0,2
2010Q2,91,2.0681818181818183,0.0006054939966176543,0,0,3484.0,3410.5,638.9318181818181,212,4.818181818181818,17108,16308,12,12,44,169.0,0.050980392156862744,4.818181818181818,759.4545454545455,24,0.5454545454545454,0.0,0.0,0,3
2010Q3,33,5.5,0.002979791282586209,0,0,3608.0,3530.0,471.8333333333333,43,7.166666666666667,4915,5645,2,2,6,124.0,0.03559127439724455,7.166666666666667,1760.0,4,0.6666666666666666,0.0,0.0,0,4
2010Q4,25,0.6756756756756757,0.0004654058817642249,0,0,3788.0,3726.324324324324,258.5135135135135,91,2.4594594594594597,5511,3459,15,15,37,180.0,0.04988913525498891,2.4594594594594597,242.43243243243242,30,0.8108108108108109,0.0,0.0,0,5
2011Q1,28,0.5283018867924528,0.00021057824794521303,0,0,3958.0,3876.7169811320755,478.79245283018867,142,2.6792452830188678,2102,876,19,19,53,170.0,0.04487856388595565,2.6792452830188678,56.18867924528302,38,0.7169811320754716,0.0,0.0,0,6
2011Q2,143,0.7486910994764397,0.0003785659965767066,0,0,5755.0,4674.041884816754,470.6910994764398,647,3.387434554973822,64851,74881,33,33,191,1797.0,0.45401718039413846,3.387434554973822,731.5811518324607,66,0.34554973821989526,0.0,0.0,0,7
2011Q3,135,0.3609625668449198,0.00016975897500816364,0,0,7031.0,6340.850267379679,483.0748663101604,1066,2.8502673796791442,28915,15227,107,102,374,1276.0,0.2217202432667246,2.8502673796791442,118.02673796791444,209,0.5588235294117647,0.0,0.0,0,8
2011Q4,229,0.44294003868471954,0.0001794793982295162,0,0,8684.0,7812.147001934236,514.5609284332688,1305,2.5241779497098644,28198,13859,205,193,517,1653.0,0.2351016925046224,2.5241779497098644,81.34816247582205,398,0.769825918762089,0.0,0.0,0,9
2012Q1,127,0.18168812589413447,9.718247789831952e-05,0,0,11117.0,10016.051502145923,582.7653791130186,1760,2.5178826895565094,100988,35408,274,276,699,2433.0,0.2801704283740212,2.5178826895565094,195.1301859799714,550,0.7868383404864091,0.0,0.0,0,10
2012Q2,299,0.3705080545229244,0.0001805277841981437,0,0,13953.0,12804.136307311028,567.1437422552664,2142,2.654275092936803,80919,41778,326,326,807,2836.0,0.25510479445893675,2.654275092936803,152.04089219330854,652,0.8079306071871127,0.0,0.0,0,11
2012Q3,118,0.23790322580645162,0.00017528379137739293,0,0,15287.0,14716.276209677419,411.31854838709677,867,1.747983870967742,27081,9556,246,247,496,1334.0,0.09560667956711819,1.747983870967742,73.8649193548387,493,0.9939516129032258,0.0,0.0,0,12
2012Q4,441,0.5810276679841897,0.000532997845413702,0,0,17751.0,16416.065876152832,615.8682476943346,1600,2.1080368906455864,66384,27795,342,344,759,2464.0,0.1611827042585203,2.1080368906455864,124.08300395256917,686,0.9038208168642952,0.0,0.0,0,13
2013Q1,674,1.4878587196467992,0.00030650103042554347,0,0,19391.0,18836.165562913906,834.2582781456954,1166,2.573951434878587,85280,48438,208,210,453,1640.0,0.09238916117401837,2.573951434878587,295.1832229580574,418,0.9227373068432672,0.0,0.0,0,14
2013Q2,1613,2.7246621621621623,0.0007436289929981103,0,0,22116.0,20782.212837837837,649.7804054054054,1266,2.1385135135135136,76651,34679,242,252,592,2725.0,0.14052911144345315,2.1385135135135136,188.05743243243242,494,0.8344594594594594,0.0,0.0,0,15
2013Q3,16067,33.82526315789474,0.0036637952780351844,0,0,24262.0,23348.755789473686,1159.3536842105264,2044,4.3031578947368425,116580,40486,186,191,475,2146.0,0.09703382166757099,4.3031578947368425,330.66526315789474,377,0.7936842105263158,0.0,0.0,0,16
2013Q4,12846,35.1945205479452,0.005482716377838239,0,0,25471.0,25108.60821917808,881.3945205479451,929,2.5452054794520547,25692,11488,153,153,365,1209.0,0.04983101145824746,2.5452054794520547,101.86301369863014,306,0.8383561643835616,0.0,0.0,0,17
2014Q1,21010,39.05204460966543,0.005173252417821784,0,0,28515.0,26539.78252788104,831.7118959107806,1283,2.3847583643122676,32865,16700,224,230,538,3044.0,0.11950846060225355,2.3847583643122676,92.12825278810409,454,0.8438661710037175,0.0,0.0,0,18
2014Q2,18767,44.89712918660287,0.005507644431308345,0,0,28938.0,28307.37081339713,925.1866028708134,1126,2.6937799043062203,32656,15018,221,220,418,423.0,0.014834297738032614,2.6937799043062203,114.05263157894737,441,1.055023923444976,0.0,0.0,0,19
2014Q3,14365,40.69405099150141,0.005027838582408972,0,0,30949.0,30140.70538243626,941.1699716713881,897,2.5410764872521248,36603,12626,172,172,353,2011.0,0.06949339968207893,2.5410764872521248,139.45892351274787,344,0.9745042492917847,0.0,0.0,0,20
2014Q4,10034,36.62043795620438,0.00549354790269749,0,0,31599.0,31255.799270072992,855.3941605839416,640,2.335766423357664,28376,6023,137,138,274,650.0,0.021002294096739798,2.335766423357664,125.54379562043796,275,1.0036496350364963,0.0,0.0,0,21
2015Q1,9994,50.221105527638194,0.00549548780721423,0,0,32264.0,31834.824120603014,1013.8040201005025,497,2.4974874371859297,40173,7702,82,82,199,665.0,0.021044969777524604,2.4974874371859297,240.57788944723617,164,0.8241206030150754,0.0,0.0,0,22
2015Q2,15502,53.826388888888886,0.0061359722931569535,0,0,33584.0,32835.27777777778,1135.7534722222222,770,2.673611111111111,74385,12796,149,149,288,1320.0,0.04091247210513266,2.673611111111111,302.71180555555554,298,1.0347222222222223,0.0,0.0,0,23
2015Q3,24424,66.73224043715847,0.006907748269590338,0,0,37312.0,35970.18579234973,1197.4207650273224,1165,3.1830601092896176,57844,18892,136,134,366,3728.0,0.1110052405907575,3.1830601092896176,209.66120218579235,270,0.7377049180327869,0.0,0.0,0,24
2015Q4,14431,65.29864253393666,0.00635454209568411,0,0,38486.0,37950.66515837104,1188.1447963800906,557,2.520361990950226,24946,35833,86,86,221,1174.0,0.031464408233276155,2.520361990950226,275.0180995475113,172,0.7782805429864253,0.0,0.0,0,25
2016Q1,14479,56.780392156862746,0.007769309858701948,0,0,40219.0,39247.41568627451,1042.7686274509804,1014,3.976470588235294,107388,88290,113,112,255,1733.0,0.04502936132619654,3.976470588235294,767.364705882353,225,0.8823529411764706,0.0,0.0,0,26
2016Q2,12495,48.80859375,0.006711870927125657,0,0,43250.0,42270.42578125,975.56640625,1095,4.27734375,47393,44063,138,134,256,3031.0,0.07536239090976901,4.27734375,357.25,272,1.0625,0.0,0.0,0,27
2016Q3,12255,42.84965034965035,0.0069852271817967965,0,0,44720.0,44108.041958041955,937.5244755244755,1086,3.797202797202797,58596,53939,127,128,286,1470.0,0.03398843930635838,3.797202797202797,393.47902097902096,255,0.8916083916083916,0.0,0.0,0,28
2016Q4,7402,33.19282511210762,0.007458183519817985,0,0,44778.0,44740.90582959641,627.6636771300448,614,2.7533632286995515,16119,12966,111,112,223,58.0,0.00129695885509839,2.7533632286995515,130.42600896860986,223,1.0,0.0,0.0,0,29
2017Q1,19628,63.31612903225806,0.008162869169418394,0,0,49912.0,48000.00322580645,1052.2387096774194,1818,5.864516129032258,59167,57930,122,121,310,5134.0,0.11465451784358391,5.864516129032258,377.73225806451615,243,0.7838709677419354,0.0,0.0,0,30
2017Q2,26835,88.56435643564356,0.007988782526275901,0,0,59831.0,57359.82508250825,1393.3102310231022,2939,9.6996699669967,56318,40778,109,109,303,9919.0,0.19872976438531817,9.6996699669967,320.44884488448844,218,0.7194719471947195,0.0,0.0,0,31
2017Q3,7842,27.041379310344826,0.005751588303009102,0,0,60518.0,60119.65517241379,790.6068965517242,989,3.410344827586207,20247,13305,106,107,290,687.0,0.011482341929768849,3.410344827586207,115.69655172413793,213,0.7344827586206897,0.0,0.0,0,32
2017Q4,15439,31.83298969072165,0.00642162126652708,0,0,62128.0,61339.81443298969,874.0412371134021,1931,3.9814432989690722,60163,44206,135,136,485,1610.0,0.026603655110876104,3.9814432989690722,215.19381443298968,271,0.5587628865979382,0.0,0.0,0,33
2018Q1,10772,18.257627118644066,0.004872940025856158,0,0,62861.0,62532.26779661017,701.0881355932204,1707,2.893220338983051,58744,41108,145,146,590,733.0,0.011798223023435488,2.893220338983051,169.24067796610169,291,0.49322033898305084,0.0,0.0,0,34
2018Q2,7916,27.017064846416382,0.0067542004629961,0,0,64408.0,64014.784982935154,737.5221843003413,917,3.1296928327645053,28359,16747,120,120,293,1547.0,0.024609853486263343,3.1296928327645053,153.94539249146757,240,0.8191126279863481,0.0,0.0,0,35
2018Q3,10995,28.26478149100257,0.006664228274345886,0,0,67338.0,66181.07712082262,818.0179948586118,1558,4.005141388174807,55979,41545,126,125,389,2930.0,0.04549124332381071,4.005141388174807,250.7043701799486,251,0.6452442159383034,0.0,0.0,0,36
2018Q4,19381,30.66613924050633,0.005960584555928493,0,0,69195.0,68469.08544303797,872.9841772151899,3524,5.575949367088608,93877,73652,242,245,632,1857.0,0.027577296623006325,5.575949367088608,265.0775316455696,487,0.7705696202531646,0.0,0.0,0,37
2019Q1,19079,41.74835886214442,0.008130283595216123,0,0,69168.0,69349.94529540482,900.4595185995623,2464,5.391684901531729,37921,31606,182,182,457,-27.0,-0.00039020160416215044,5.391684901531729,152.1378555798687,364,0.7964989059080962,0.0,0.0,0,38
2019Q2,18087,42.96199524940618,0.006257809875370822,0,0,70395.0,69502.94536817101,952.2731591448932,2567,6.097387173396674,28247,21691,167,168,421,1227.0,0.01773941707147814,6.097387173396674,118.61757719714964,335,0.7957244655581948,0.0,0.0,0,39
2019Q3,16560,34.074074074074076,0.00611876082250608,0,0,71373.0,71373.66255144033,885.8888888888889,2613,5.3765432098765435,159264,131534,144,167,486,978.0,0.013893032175580652,5.3765432098765435,598.3497942386831,311,0.6399176954732511,0.0,0.0,0,40
2019Q4,22424,24.008565310492504,0.00693588379998413,0,0,72798.0,71939.62740899358,665.3972162740899,3399,3.639186295503212,53643,54129,252,267,934,1425.0,0.019965533184817787,3.639186295503212,115.38758029978587,519,0.5556745182012848,0.0,0.0,0,41
2020Q1,28612,25.707097933513026,0.007004592768139915,0,0,73727.0,73181.1850853549,626.0835579514825,4370,3.926325247079964,93549,56087,337,338,1113,929.0,0.012761339597241683,3.926325247079964,134.4438454627134,675,0.6064690026954178,0.0,0.0,0,42
2020Q2,16336,21.326370757180158,0.007728680245114377,0,0,74687.0,74209.12140992167,565.3681462140992,2512,3.279373368146214,47320,30442,254,252,766,960.0,0.013021009942083633,3.279373368146214,101.51697127937337,506,0.660574412532637,0.0,0.0,0,43
2020Q3,15258,25.81725888324873,0.009181711083158297,0,0,76482.0,75550.0219966159,602.4433164128595,2062,3.489001692047377,35487,18765,189,187,591,1795.0,0.02403363369796618,3.489001692047377,91.79695431472081,376,0.6362098138747885,0.0,0.0,0,44
2020Q4,19504,18.12639405204461,0.004465563254697467,0,0,79282.0,78013.51765799256,625.6245353159851,4193,3.896840148698885,77101,57970,330,333,1076,2800.0,0.03660992128866923,3.896840148698885,125.53066914498142,663,0.6161710037174721,0.0,0.0,0,45
2021Q1,10243,12.692688971499381,0.0038477601184684104,0,0,81611.0,80587.28252788103,731.7719950433705,4238,5.251548946716233,84154,56510,232,232,807,2329.0,0.029376150954819505,5.251548946716233,174.30483271375465,464,0.5749690210656754,0.0,0.0,0,46
2021Q2,7079,10.185611510791366,0.002822173944498136,0,0,83071.0,82351.73381294963,693.0863309352518,2606,3.7496402877697843,44967,27651,184,184,695,1460.0,0.017889745254928868,3.7496402877697843,104.4863309352518,368,0.5294964028776978,0.0,0.0,0,47
2021Q3,4426,7.833628318584071,0.002816916503665272,0,0,84212.0,83671.6353982301,563.341592920354,1683,2.9787610619469027,27420,15780,164,162,565,1141.0,0.013735238530895259,2.9787610619469027,76.46017699115045,326,0.5769911504424778,0.0,0.0,0,48
2021Q4,6938,10.512121212121212,0.0030890994144078267,0,0,85547.0,84869.94242424243,599.5969696969697,2618,3.966666666666667,37565,24401,237,233,660,1335.0,0.015852847575167434,3.966666666666667,93.88787878787879,470,0.7121212121212122,0.0,0.0,0,49
2022Q1,6723,12.179347826086957,0.0036299774696858522,0,0,86337.0,85884.54528985507,660.0507246376811,2275,4.121376811594203,37203,21669,196,195,552,790.0,0.009234689702736507,4.121376811594203,106.65217391304348,391,0.7083333333333334,0.0,0.0,0,50
2022Q2,3012,8.581196581196581,0.0023251399619940213,0,0,87937.0,87103.81196581197,571.3846153846154,1235,3.5185185185185186,25428,9363,110,108,351,1600.0,0.0185320314581234,3.5185185185185186,99.11965811965813,218,0.6210826210826211,0.0,0.0,0,51
2022Q3,3760,8.337028824833704,0.002619882421411063,0,0,89602.0,88980.39467849224,850.4811529933481,1908,4.23059866962306,27230,10873,166,164,451,1665.0,0.018934009575036673,4.23059866962306,84.48558758314856,330,0.7317073170731707,0.0,0.0,0,52
2022Q4,9395,14.022388059701493,0.002886068860405764,0,0,88665.0,88858.74776119403,805.4059701492537,3045,4.544776119402985,30715,39598,215,220,670,-937.0,-0.010457355862592353,4.544776119402985,104.94477611940299,435,0.6492537313432836,0.0,0.0,0,53
2023Q1,10784,13.667934093789608,0.003442396239952441,0,0,90538.0,89660.60076045628,845.1977186311788,3584,4.5424588086185045,46477,28192,251,252,789,1873.0,0.0211244572266396,4.5424588086185045,94.63751584283904,503,0.6375158428390367,0.0,0.0,0,54
2023Q2,8232,13.320388349514563,0.0030876445485710714,0,0,91719.0,91014.43851132687,787.1844660194175,2298,3.7184466019417477,37038,24459,212,209,618,1181.0,0.013044246614681128,3.7184466019417477,99.50970873786407,421,0.6812297734627831,0.0,0.0,0,55
2023Q3,10274,20.79757085020243,0.003923154682003683,0,0,92851.0,92245.9858299595,901.8198380566802,2679,5.423076923076923,34532,20746,156,158,494,1132.0,0.012342044723557823,5.423076923076923,111.89878542510121,314,0.6356275303643725,0.0,0.0,0,56
2023Q4,12656,21.85837651122625,0.0035424087453864023,0,0,95143.0,94089.37651122625,838.6200345423143,3395,5.863557858376511,49227,31690,188,190,579,2292.0,0.024684709911578766,5.863557858376511,139.75302245250433,378,0.6528497409326425,0.0,0.0,0,57
2024Q1,9735,19.431137724550897,0.0027958397497953864,0,0,92877.0,93948.57884231537,1024.2055888223554,2977,5.942115768463074,32172,45291,189,188,501,-2266.0,-0.0238167810558843,5.942115768463074,154.61676646706587,377,0.7524950099800399,0.0,0.0,0,58
2024Q2,3724,8.995169082125605,0.0014627693375100234,0,0,92934.0,92932.51449275362,700.2294685990338,1303,3.1473429951690823,14416,11749,148,148,414,57.0,0.0006137149132723925,3.1473429951690823,63.20048309178744,296,0.714975845410628,0.0,0.0,0,59
2024Q3,4855,16.626712328767123,0.002527167794461315,0,0,93226.0,93073.01712328767,620.5650684931506,1187,4.065068493150685,11653,7282,148,145,292,292.0,0.003142014763165257,4.065068493150685,64.8458904109589,293,1.0034246575342465,0.0,0.0,0,60
2024Q4,2507,11.714953271028037,0.005457364384014813,0,0,93550.0,93414.6355140187,534.7663551401869,642,3.0,5951,3746,137,125,214,324.0,0.0034754253105356873,3.0,45.31308411214953,262,1.2242990654205608,0.0,0.0,0,61
2025Q1,1887,11.648148148148149,0.0046375253138964505,0,0,93911.0,93699.17901234567,551.8518518518518,485,2.993827160493827,7773,2154,88,76,162,361.0,0.0038588989845002673,2.993827160493827,61.27777777777778,164,1.0123456790123457,0.0,0.0,0,62
2025Q2,577,6.556818181818182,0.003235041919813532,0,0,94134.0,94016.35227272728,637.2840909090909,246,2.7954545454545454,4328,1571,38,38,88,223.0,0.002374588706328332,2.7954545454545454,67.0340909090909,76,0.8636363636363636,0.0,0.0,0,63
