period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2017Q2,7,0.25925925925925924,0.0007364951938556658,0,0,1653.0,665.925925925926,189.77777777777777,329,12.185185185185185,8380,2726,5,5,27,,,12.185185185185185,411.3333333333333,10,0.37037037037037035,0.0,0.0,0,0
2017Q3,0,0.0,0.0,0,0,2817.0,2477.05,485.9,300,15.0,312432,13624,5,5,20,1164.0,0.7041742286751361,15.0,16302.8,10,0.5,0.0,0.0,0,1
2017Q4,0,0.0,0.0,0,0,3184.0,3183.8,113.46666666666667,92,3.066666666666667,3061,835,7,7,30,367.0,0.13028044018459353,3.066666666666667,129.86666666666667,14,0.4666666666666667,0.0,0.0,0,2
2018Q1,0,0.0,0.0,0,0,5836.0,3491.5434782608695,158.91304347826087,187,4.065217391304348,4130,2184,11,11,46,2652.0,0.8329145728643216,4.065217391304348,137.2608695652174,22,0.4782608695652174,0.0,0.0,0,3
2018Q2,36,0.28346456692913385,0.0008167731504161993,0,0,6683.0,6086.251968503937,161.21259842519686,759,5.9763779527559056,15069,7022,23,23,127,847.0,0.14513365318711446,5.9763779527559056,173.9448818897638,46,0.36220472440944884,0.0,0.0,0,4
2018Q3,37,0.26618705035971224,0.00046779768997266136,0,0,9500.0,8805.043165467627,161.0863309352518,560,4.028776978417266,54116,481827,34,34,139,2817.0,0.42151728265748917,4.028776978417266,3855.705035971223,68,0.4892086330935252,0.0,0.0,0,5
2018Q4,32,0.35555555555555557,0.00030417453506087494,0,0,9549.0,9539.022222222222,188.86666666666667,575,6.388888888888889,3698,3698,37,37,90,49.0,0.005157894736842105,6.388888888888889,82.17777777777778,74,0.8222222222222222,0.0,0.0,0,6
2019Q1,32,0.14035087719298245,0.00027970235417863667,0,0,10856.0,10291.521929824561,48.70614035087719,923,4.048245614035087,27557,10013,55,56,228,1307.0,0.13687297099172688,4.048245614035087,164.78070175438597,111,0.4868421052631579,0.0,0.0,0,7
2019Q2,105,0.3620689655172414,0.000290182454716974,0,0,12599.0,11843.641379310346,96.17241379310344,1361,4.6931034482758625,57098,29248,54,54,290,1743.0,0.1605563743551953,4.6931034482758625,297.7448275862069,108,0.3724137931034483,0.0,0.0,0,8
2019Q3,50,0.47619047619047616,0.0006402504318757675,0,0,13135.0,12898.933333333332,83.61904761904762,469,4.466666666666667,56043,50987,36,36,105,536.0,0.04254305897293436,4.466666666666667,1019.3333333333334,72,0.6857142857142857,0.0,0.0,0,9
