period,total_smells_found_sum,total_smells_found_mean,smell_density_mean,smells_introduced_sum,smells_removed_sum,project_cyclomatic_complexity_last,project_cyclomatic_complexity_mean,commit_cyclomatic_complexity_mean,files_changed_sum,files_changed_mean,LOC_added_sum,LOC_deleted_sum,is_bug_fix_sum,bug_fixing_sum,total_commits,complexity_delta,complexity_growth_rate,change_intensity,loc_churn,bugfix_commits,bugfix_ratio,smell_introduction_rate,smell_removal_rate,net_smell_change,period_num
2010Q1,710,1.3653846153846154,5.917636915680578e-05,147,35,1274.0,1212.9153846153847,42.20576923076923,1796,3.453846153846154,285149,235292,104,103,520,,,3.453846153846154,1000.848076923077,207,0.39807692307692305,0.2826923076923077,0.0673076923076923,112,0
2010Q2,1331,4.653846153846154,0.000452175517107928,65,65,798.0,1291.1608391608393,25.003496503496503,798,2.7902097902097904,127695,200488,61,60,286,-476.0,-0.37362637362637363,2.7902097902097904,1147.493006993007,121,0.4230769230769231,0.22727272727272727,0.22727272727272727,0,1
2010Q3,5208,7.085714285714285,0.0005623994196271436,147,97,2172.0,1648.6666666666667,67.25850340136054,2993,4.072108843537415,313112,212132,182,180,735,1374.0,1.7218045112781954,4.072108843537415,714.61768707483,362,0.4925170068027211,0.2,0.13197278911564625,50,2
2010Q4,3584,5.505376344086022,0.0002772748599750381,122,56,2674.0,2346.8033794162825,89.51305683563749,4042,6.2089093701996925,628682,450736,131,128,651,502.0,0.2311233885819521,6.2089093701996925,1658.0921658986176,259,0.3978494623655914,0.18740399385560677,0.08602150537634409,66,3
2011Q1,3275,7.4771689497716896,0.000302609882313512,50,31,3049.0,2715.4771689497716,65.98173515981735,1697,3.874429223744292,142600,84684,73,72,438,375.0,0.14023934181002243,3.874429223744292,518.9132420091324,145,0.3310502283105023,0.1141552511415525,0.07077625570776255,19,4
2011Q2,8915,8.316231343283581,0.0002827283704853674,183,110,3718.0,3300.783582089552,112.11753731343283,6095,5.685634328358209,511146,270232,246,244,1072,669.0,0.21941620203345358,5.685634328358209,728.8973880597015,490,0.457089552238806,0.1707089552238806,0.10261194029850747,73,5
2011Q3,16985,12.140814867762687,0.00031257281987782763,339,145,4484.0,4200.79199428163,171.8699070764832,13546,9.682630450321659,3463248,3043007,309,300,1399,766.0,0.20602474448628294,9.682630450321659,4650.646890636169,609,0.4353109363831308,0.24231593995711223,0.10364546104360257,194,6
2011Q4,11542,10.115687992988606,0.0002166735787271316,81,62,5190.0,4917.603856266433,176.6432953549518,8545,7.489044697633655,525639,311444,271,260,1141,706.0,0.15744870651204282,7.489044697633655,733.6397896581946,531,0.4653812445223488,0.07099035933391762,0.05433829973707274,19,7
2012Q1,10963,10.49090909090909,0.00020290131195222007,96,72,5873.0,5468.152153110048,192.60956937799043,8015,7.669856459330144,662786,460029,278,275,1045,683.0,0.13159922928709056,7.669856459330144,1074.4641148325359,553,0.5291866028708134,0.09186602870813397,0.06889952153110047,24,8
2012Q2,3981,7.008802816901408,0.00012224001848537975,39,31,6170.0,6035.420774647887,128.4806338028169,2292,4.035211267605634,69563,65381,166,165,568,297.0,0.0505704069470458,4.035211267605634,237.57746478873239,331,0.5827464788732394,0.06866197183098592,0.05457746478873239,8,9
2012Q3,4521,6.385593220338983,0.00010656448333521588,35,32,6530.0,6361.430790960452,143.9180790960452,2787,3.9364406779661016,135109,127283,208,201,708,360.0,0.05834683954619125,3.9364406779661016,370.6101694915254,409,0.577683615819209,0.04943502824858757,0.04519774011299435,3,10
2012Q4,5135,5.422386483632524,8.480772706439418e-05,60,39,7161.0,6810.472016895459,139.02534318901795,3939,4.159450897571277,198955,106677,282,268,947,631.0,0.09663093415007656,4.159450897571277,322.73706441393875,550,0.5807814149947201,0.06335797254487856,0.04118268215417107,21,11
2013Q1,4507,5.482968369829684,7.737453856701784e-05,40,22,7583.0,7313.610705596107,151.03041362530413,3234,3.934306569343066,168934,47103,288,285,822,422.0,0.05893031699483312,3.934306569343066,262.81873479318733,573,0.6970802919708029,0.04866180048661801,0.0267639902676399,18,12
2013Q2,3835,11.379821958456974,0.00015059203178726806,12,6,8625.0,8100.053412462908,303.053412462908,3325,9.86646884272997,125531,60877,136,131,337,1042.0,0.13741263352235264,9.86646884272997,553.1394658753709,267,0.7922848664688428,0.03560830860534125,0.017804154302670624,6,13
2013Q3,8868,7.049284578696343,8.518101770202865e-05,95,75,9640.0,9155.945945945947,145.67806041335453,4782,3.8012718600953894,584648,144691,422,402,1258,1015.0,0.11768115942028985,3.8012718600953894,579.7607313195548,824,0.6550079491255962,0.075516693163752,0.05961844197138315,20,14
2013Q4,3816,7.2,8.120420489944614e-05,54,31,10060.0,9745.48679245283,188.488679245283,2149,4.054716981132075,55703,42622,162,156,530,420.0,0.043568464730290454,4.054716981132075,185.5188679245283,318,0.6,0.1018867924528302,0.05849056603773585,23,15
2014Q1,5577,12.589164785553047,0.00013510442431607342,23,10,10366.0,10246.887133182845,318.0925507900677,3234,7.300225733634312,136970,47395,182,180,443,306.0,0.030417495029821072,7.300225733634312,416.1738148984199,362,0.8171557562076749,0.05191873589164785,0.022573363431151242,13,16
2014Q2,4023,9.248275862068965,9.634357633986437e-05,9,8,10855.0,10584.514942528736,255.26206896551724,3175,7.2988505747126435,43022,21093,151,151,435,489.0,0.047173451668917614,7.2988505747126435,147.39080459770116,302,0.6942528735632184,0.020689655172413793,0.01839080459770115,1,17
2014Q3,7572,10.942196531791907,0.0001105229541414282,79,49,11139.0,10894.68352601156,309.16329479768785,4920,7.109826589595376,177801,124012,215,209,692,284.0,0.02616305849838784,7.109826589595376,436.1459537572254,424,0.6127167630057804,0.11416184971098266,0.0708092485549133,30,18
2014Q4,5537,9.817375886524824,9.452173306052851e-05,21,10,11707.0,11451.719858156028,239.99290780141843,2772,4.914893617021277,32933,11596,197,188,564,568.0,0.050992010054762546,4.914893617021277,78.95212765957447,385,0.6826241134751773,0.03723404255319149,0.01773049645390071,11,19
2015Q1,9580,20.426439232409383,0.00018641984265403336,32,22,11821.0,11867.215351812367,470.6950959488273,4439,9.464818763326226,34368,66273,222,220,469,114.0,0.009737763731101051,9.464818763326226,214.5863539445629,442,0.9424307036247335,0.06823027718550106,0.046908315565031986,10,20
2015Q2,9238,23.748071979434446,0.00021432163543990635,25,11,12236.0,11983.290488431876,537.642673521851,4157,10.686375321336762,36658,16412,153,154,389,415.0,0.03510701294306742,10.686375321336762,136.426735218509,307,0.7892030848329049,0.06426735218508997,0.028277634961439587,14,21
2015Q3,12260,31.844155844155843,0.00027866057112329543,29,21,13055.0,12406.553246753247,733.574025974026,6172,16.03116883116883,267357,115444,134,130,385,819.0,0.06693363844393593,16.03116883116883,994.2883116883116,264,0.6857142857142857,0.07532467532467532,0.05454545454545454,8,22
2015Q4,14067,19.757022471910112,0.00015658213421141084,24,13,14640.0,13890.112359550561,562.568820224719,7723,10.84691011235955,159652,362346,279,271,712,1585.0,0.1214094216775182,10.84691011235955,733.1432584269663,550,0.7724719101123596,0.033707865168539325,0.018258426966292134,11,23
2016Q1,7631,27.156583629893237,0.0002031462400387972,14,10,14976.0,14783.903914590748,865.9857651245552,5582,19.864768683274022,122427,179115,123,121,281,336.0,0.022950819672131147,19.864768683274022,1073.1032028469751,244,0.8683274021352313,0.0498220640569395,0.03558718861209965,4,24
2016Q2,2061,12.123529411764705,8.812402667538954e-05,27,10,15365.0,15206.482352941177,319.2352941176471,1436,8.447058823529412,11299,3725,74,71,170,389.0,0.025974893162393164,8.447058823529412,88.37647058823529,145,0.8529411764705882,0.1588235294117647,0.058823529411764705,17,25
2016Q3,2958,9.541935483870967,6.74980540207501e-05,20,12,16032.0,15746.68064516129,335.23225806451615,1862,6.006451612903226,20899,10976,147,146,310,667.0,0.04341034819394728,6.006451612903226,102.8225806451613,293,0.9451612903225807,0.06451612903225806,0.03870967741935484,8,26
2016Q4,1287,7.706586826347305,5.3431120552086384e-05,18,12,16153.0,16091.838323353293,209.36526946107784,593,3.5508982035928143,9479,5379,109,104,167,121.0,0.007547405189620758,3.5508982035928143,88.97005988023952,213,1.2754491017964071,0.10778443113772455,0.0718562874251497,6,27
2017Q1,443,4.027272727272727,2.7543132706064257e-05,12,1,16412.0,16278.0,117.16363636363636,250,2.272727272727273,5754,2081,67,66,110,259.0,0.016034173218597163,2.272727272727273,71.22727272727273,133,1.209090909090909,0.10909090909090909,0.00909090909090909,11,28
2017Q2,1486,7.505050505050505,5.0812204584157375e-05,41,5,16434.0,16334.09090909091,192.44949494949495,752,3.797979797979798,11476,10121,114,109,198,22.0,0.0013404825737265416,3.797979797979798,109.07575757575758,223,1.1262626262626263,0.20707070707070707,0.025252525252525252,36,29
2017Q3,1486,8.255555555555556,5.4605477507874e-05,7,2,16360.0,16497.71111111111,212.45,705,3.9166666666666665,21393,15139,93,93,180,-74.0,-0.0045028599245466715,3.9166666666666665,202.95555555555555,186,1.0333333333333334,0.03888888888888889,0.011111111111111112,5,30
2017Q4,1407,8.905063291139241,5.84227077234893e-05,30,6,16691.0,16492.74683544304,222.1139240506329,582,3.6835443037974684,19638,13408,74,73,158,331.0,0.020232273838630806,3.6835443037974684,209.15189873417722,147,0.930379746835443,0.189873417721519,0.0379746835443038,24,31
2018Q1,1230,9.24812030075188,5.9080076881304806e-05,12,23,17160.0,16984.85714285714,212.81203007518798,424,3.18796992481203,13789,6203,49,49,133,469.0,0.02809897549577617,3.18796992481203,150.31578947368422,98,0.7368421052631579,0.09022556390977443,0.17293233082706766,-11,32
